id,call_id,agent_analysis_id,timestamp,question_text,question_type,quality_score,why_good,why_bad,better_alternative,customer_response,created_at
06ed9004-2bcd-422e-80ad-f467d71576bb,558474e6-46db-4763-b893-49e61d3b86f7,63f38c57-4c46-4e71-a928-5ff81aae3af4,0:00,"Hi, is this Jennifer?",closed,5,It confirms the identity of the person on the call.,It's a basic introduction question with limited engagement potential.,"Hi Jennifer, how are you doing today?",,2026-02-02 20:20:03.631061+00
124ce621-dfb1-4796-b820-41a5639199b8,db08c1e9-e68a-4cea-b9c1-efe1c7ba012a,,0:34,That sounds frustrating. How is this impacting your business operations?,open_ended,9,Strong business impact question that helps quantify value and builds urgency,,,,2026-02-02 20:16:33.019732+00
1506b2db-aed2-44b9-8768-2892c90ac66b,558474e6-46db-4763-b893-49e61d3b86f7,63f38c57-4c46-4e71-a928-5ff81aae3af4,0:03,Do you have a few minutes?,closed,6,It respects the prospect's time and seeks permission to continue.,It could be more engaging by inviting a conversation rather than just checking availability.,Is now a good time for us to discuss how our marketing automation software can benefit your business?,,2026-02-02 20:20:03.631061+00
16749929-6bf4-4357-a3df-f7d665d06443,0059c4f3-c10a-40e6-88f2-2bf05cd12731,,0:54,"Wow, that is significant. At an average finance salary, that is costing you thousands in labor alone. What would it mean for your business if you could automate that entirely?",open_ended,9,Strong business impact question that helps quantify value and builds urgency,,,,2026-02-02 20:16:31.562984+00
1c43ff9b-0d90-41fb-8e98-03cd291afe30,db08c1e9-e68a-4cea-b9c1-efe1c7ba012a,229731b2-2310-4bfd-abfb-1e2c1336da1e,0:54,How many users are you supporting currently?,closed,5,It gathers specific data that can help tailor the solution.,It's a closed question that limits the prospect's response to a simple number.,Can you describe how your user base has grown and how that affects your infrastructure needs?,,2026-02-02 20:20:54.635318+00
1cdcb3c6-9c1a-4409-a21d-45112b886715,558474e6-46db-4763-b893-49e61d3b86f7,63f38c57-4c46-4e71-a928-5ff81aae3af4,1:03,"Okay, when would be a better time?",closed,5,It seeks to schedule a follow-up.,It doesn't provide context or encourage a discussion about the prospect's needs.,What does your schedule look like for a follow-up conversation?,,2026-02-02 20:20:03.631061+00
3a92343f-3445-4348-9ed6-abf959f3c858,db08c1e9-e68a-4cea-b9c1-efe1c7ba012a,,0:46,I see. What solutions have you explored so far?,open_ended,7,Open-ended question encourages customer to share detailed information,,,,2026-02-02 20:16:33.019732+00
3abc5b5d-e54d-444c-8e97-cd362944cdb7,0059c4f3-c10a-40e6-88f2-2bf05cd12731,2a0c13d9-981c-4d9a-a8a3-4346fbdf7418,2:39,Would it make sense to schedule a technical walkthrough with your CFO and finance team next week?,closed,5,It attempts to move the conversation towards the next step in the sales process.,"It can be answered with a simple yes or no, which doesn't encourage further discussion.",What steps do you think are necessary before scheduling a technical walkthrough with your CFO and finance team?,,2026-02-02 20:19:33.223169+00
3c43a281-9307-41f1-b951-a7cf33618458,0059c4f3-c10a-40e6-88f2-2bf05cd12731,,0:10,"Excellent! Before I dive into our solution, can you walk me through your current accounting workflow and what is working well versus what is not?",open_ended,7,Open-ended question encourages customer to share detailed information,,,,2026-02-02 20:16:31.562984+00
3d0915e0-7adb-4d2d-89e5-873c3c26047b,db08c1e9-e68a-4cea-b9c1-efe1c7ba012a,229731b2-2310-4bfd-abfb-1e2c1336da1e,1:10,What is your timeline for making a decision?,open_ended,7,It helps gauge the urgency and timeframe for the prospect's decision-making process.,,,,2026-02-02 20:20:54.635318+00
429233e7-9185-427f-8a1a-40b33ec71868,0059c4f3-c10a-40e6-88f2-2bf05cd12731,2a0c13d9-981c-4d9a-a8a3-4346fbdf7418,2:22,What is your ideal go-live date?,open_ended,8,"Encourages the prospect to think about timelines, which is crucial for planning and commitment.",,,,2026-02-02 20:19:33.223169+00
46a33f97-ad2c-41d6-8d3a-12eb75288bd1,558474e6-46db-4763-b893-49e61d3b86f7,,0:34,"Um, well, it has AI-powered recommendations and stuff. Do you like our product?",closed,3,,Closed yes/no question limits customer response and misses opportunity for discovery,"Instead of a yes/no question, try: ""Tell me about your current situation with [topic]"" or ""What challenges are you facing with [topic]?""",,2026-02-02 20:16:32.28071+00
527ca4ad-d842-4f0e-b24d-fd96238c1b75,0059c4f3-c10a-40e6-88f2-2bf05cd12731,,1:47,"I totally understand budget concerns. Let me ask you this - you mentioned 50 hours per month on manual work. If we could save you that time, what is that worth to your organization?",open_ended,7,Open-ended question encourages customer to share detailed information,,,,2026-02-02 20:16:31.562984+00
564322b3-0c50-424b-8252-aaecbcf59b18,558474e6-46db-4763-b893-49e61d3b86f7,63f38c57-4c46-4e71-a928-5ff81aae3af4,0:34,Do you like our product?,closed,4,It seeks feedback on the product.,It is too simplistic and doesn't encourage a detailed response.,What features of our product do you find most appealing?,,2026-02-02 20:20:03.631061+00
